Row(host=u'128.158.31.34', frequency=168, totalBytes=4135226, averageSize=24614.440476190477)
Row(host=u'198.164.3.27', frequency=168, totalBytes=655471, averageSize=3901.6130952380954)
Row(host=u'dialup35.infobahnos.com', frequency=168, totalBytes=5546183, averageSize=33012.994047619046)
Row(host=u'hasle.oslonett.no', frequency=169, totalBytes=3021368, averageSize=17877.917159763314)
Row(host=u'163.205.166.19', frequency=169, totalBytes=164235, averageSize=971.8047337278107)
Row(host=u'n872545.ksc.nasa.gov', frequency=169, totalBytes=466803, averageSize=2762.147928994083)
Row(host=u'128.159.144.47', frequency=170, totalBytes=423116, averageSize=2488.9176470588236)
Row(host=u'gw1.cat.com', frequency=170, totalBytes=4841358, averageSize=28478.576470588236)
Row(host=u'fw1.torolab.ibm.com', frequency=170, totalBytes=2390033, averageSize=14059.017647058823)
Row(host=u'bass.hooked.net', frequency=170, totalBytes=4058557, averageSize=23873.86470588235)
Row(host=u'rwalker2.cin.dca.com', frequency=170, totalBytes=4462200, averageSize=26248.235294117647)
Row(host=u'192.112.239.46', frequency=171, totalBytes=901007, averageSize=5269.046783625731)
Row(host=u'163.206.113.43', frequency=171, totalBytes=35438, averageSize=207.23976608187135)
Row(host=u'163.205.23.43', frequency=171, totalBytes=457044, averageSize=2672.7719298245615)
Row(host=u'dougal.atm.ox.ac.uk', frequency=171, totalBytes=1275636, averageSize=7459.859649122807)
Row(host=u'163.205.2.100', frequency=171, totalBytes=463855, averageSize=2712.6023391812864)
Row(host=u'mac144.ma.psu.edu', frequency=171, totalBytes=1743233, averageSize=10194.345029239767)
Row(host=u'felix.woodtech.com', frequency=171, totalBytes=509859, averageSize=2981.6315789473683)
Row(host=u'134.84.112.183', frequency=171, totalBytes=16918931, averageSize=98941.11695906433)
Row(host=u'163.206.130.61', frequency=171, totalBytes=1362971, averageSize=7970.590643274853)
Row(host=u'alta.atk.com', frequency=172, totalBytes=1320759, averageSize=7678.831395348837)
Row(host=u'anonymous.chevron.com', frequency=172, totalBytes=12701570, averageSize=73846.33720930232)
Row(host=u'bensmtp.ksc.nasa.gov', frequency=173, totalBytes=3221834, averageSize=18623.317919075143)
Row(host=u'relay.dia.osis.gov', frequency=173, totalBytes=967060, averageSize=5589.9421965317915)
Row(host=u'romulus.ultranet.com', frequency=173, totalBytes=3513727, averageSize=20310.56069364162)
Row(host=u'n1028286.ksc.nasa.gov', frequency=173, totalBytes=458617, averageSize=2650.965317919075)
Row(host=u'160.205.49.146', frequency=173, totalBytes=2005553, averageSize=11592.791907514451)
Row(host=u'n1123728.ksc.nasa.gov', frequency=174, totalBytes=436386, averageSize=2507.9655172413795)
Row(host=u'128.159.140.128', frequency=174, totalBytes=650315, averageSize=3737.442528735632)
Row(host=u'n1144878.ksc.nasa.gov', frequency=174, totalBytes=1157724, averageSize=6653.586206896552)
Row(host=u'srs249.scf.loral.com', frequency=176, totalBytes=3978310, averageSize=22604.034090909092)
Row(host=u'rcwusr.bp.com', frequency=176, totalBytes=4820918, averageSize=27391.579545454544)
Row(host=u'128.159.112.47', frequency=176, totalBytes=58367, averageSize=331.6306818181818)
Row(host=u'193.132.114.242', frequency=177, totalBytes=1192016, averageSize=6734.553672316384)
Row(host=u'pc19.han.data.telia.se', frequency=177, totalBytes=4639018, averageSize=26209.141242937854)
Row(host=u'128.159.144.38', frequency=178, totalBytes=491472, averageSize=2761.078651685393)
Row(host=u'cilab_srv02.ci.uminho.pt', frequency=178, totalBytes=3683438, averageSize=20693.47191011236)
Row(host=u'130.246.17.32', frequency=178, totalBytes=9312233, averageSize=52315.91573033708)
Row(host=u'tilak.cage.curtin.edu.au', frequency=178, totalBytes=908677, averageSize=5104.926966292135)
Row(host=u'128.159.77.122', frequency=179, totalBytes=525964, averageSize=2938.346368715084)
Row(host=u'lobster.msfc.nasa.gov', frequency=179, totalBytes=5733653, averageSize=32031.58100558659)
Row(host=u'n1031629.ksc.nasa.gov', frequency=180, totalBytes=450871, averageSize=2504.838888888889)
Row(host=u'163.205.3.38', frequency=180, totalBytes=451003, averageSize=2505.572222222222)
Row(host=u'199.201.186.105', frequency=180, totalBytes=819388, averageSize=4552.155555555555)
Row(host=u'142.74.90.67', frequency=180, totalBytes=690578, averageSize=3836.5444444444443)
Row(host=u'163.205.23.125', frequency=181, totalBytes=203199, averageSize=1122.646408839779)
Row(host=u'ppp09-08.rns.tamu.edu', frequency=181, totalBytes=11962514, averageSize=66091.23756906077)
Row(host=u'rosewood.frco.com', frequency=181, totalBytes=10236328, averageSize=56554.298342541435)
Row(host=u'204.5.202.12', frequency=181, totalBytes=2272958, averageSize=12557.779005524862)
Row(host=u'pc8f50.bhi.bhsi.com', frequency=181, totalBytes=6881952, averageSize=38021.83425414364)
Row(host=u'130.132.25.94', frequency=181, totalBytes=7271969, averageSize=40176.62430939227)
Row(host=u'lahal.ksc.nasa.gov', frequency=182, totalBytes=3336773, averageSize=18333.917582417584)
Row(host=u'128.159.122.162', frequency=182, totalBytes=1181783, averageSize=6493.313186813187)
Row(host=u'n1123320.ksc.nasa.gov', frequency=182, totalBytes=479327, averageSize=2633.664835164835)
Row(host=u'n167287.ksc.nasa.gov', frequency=182, totalBytes=457468, averageSize=2513.5604395604396)
Row(host=u'dns.it.net', frequency=182, totalBytes=2327015, averageSize=12785.796703296703)
Row(host=u'141.102.40.36', frequency=182, totalBytes=9556552, averageSize=52508.52747252747)
Row(host=u'n1123605.ksc.nasa.gov', frequency=182, totalBytes=488425, averageSize=2683.653846153846)
Row(host=u'ssbuv.gsfc.nasa.gov', frequency=183, totalBytes=1037610, averageSize=5670.0)
Row(host=u'gk-east.usps.gov', frequency=183, totalBytes=4445284, averageSize=24291.169398907103)
Row(host=u'fn1.freenet.edmonton.ab.ca', frequency=183, totalBytes=4017910, averageSize=21955.792349726777)
Row(host=u'160.136.19.77', frequency=183, totalBytes=1836858, averageSize=10037.475409836066)
Row(host=u'128.159.122.119', frequency=183, totalBytes=1168661, averageSize=6386.12568306011)
Row(host=u'so.scsnet.com', frequency=184, totalBytes=1562934, averageSize=8494.20652173913)
Row(host=u'madison-2.nara.gov', frequency=184, totalBytes=2230303, averageSize=12121.21195652174)
Row(host=u'n1032445.ksc.nasa.gov', frequency=184, totalBytes=1748907, averageSize=9504.929347826086)
Row(host=u'n1142807.ksc.nasa.gov', frequency=184, totalBytes=757872, averageSize=4118.869565217391)
Row(host=u'dialup04.nas.com', frequency=184, totalBytes=6480016, averageSize=35217.47826086957)
Row(host=u'alyssa.prodigy.com', frequency=185, totalBytes=4793176, averageSize=25909.05945945946)
Row(host=u'n868732.ksc.nasa.gov', frequency=185, totalBytes=480936, averageSize=2599.654054054054)
Row(host=u'142.65.70.197', frequency=185, totalBytes=4680846, averageSize=25301.87027027027)
Row(host=u'fts3p14-bfs.scri.fsu.edu', frequency=185, totalBytes=5994935, averageSize=32405.054054054053)
Row(host=u'128.159.129.225', frequency=186, totalBytes=3352128, averageSize=18022.1935483871)
Row(host=u'outgate.ft.com', frequency=187, totalBytes=947953, averageSize=5069.267379679144)
Row(host=u'n164576.ksc.nasa.gov', frequency=188, totalBytes=1424225, averageSize=7575.664893617021)
Row(host=u'crc3-fddi.cris.com', frequency=188, totalBytes=2613308, averageSize=13900.574468085106)
Row(host=u'gvls2.vfl.paramax.com', frequency=188, totalBytes=3207721, averageSize=17062.34574468085)
Row(host=u'128.159.123.58', frequency=189, totalBytes=3301030, averageSize=17465.767195767196)
Row(host=u'hpbs100.boi.hp.com', frequency=189, totalBytes=8995718, averageSize=47596.391534391536)
Row(host=u'35.8.33.32', frequency=189, totalBytes=10339989, averageSize=54708.93650793651)
Row(host=u'128.159.63.159', frequency=190, totalBytes=528472, averageSize=2781.4315789473685)
Row(host=u'128.159.129.88', frequency=190, totalBytes=1032813, averageSize=5435.857894736842)
Row(host=u'king.opt-sci.arizona.edu', frequency=190, totalBytes=1727983, averageSize=9094.647368421052)
Row(host=u'163.206.137.11', frequency=191, totalBytes=579932, averageSize=3036.2931937172775)
Row(host=u'netport-29.iu.net', frequency=191, totalBytes=3128949, averageSize=16381.931937172774)
Row(host=u'gatekeeper.ccat.co.uk', frequency=191, totalBytes=5146582, averageSize=26945.455497382198)
Row(host=u'160.205.122.58', frequency=191, totalBytes=4357668, averageSize=22815.015706806284)
Row(host=u'orion.htl-bw.ch', frequency=191, totalBytes=3476888, averageSize=18203.60209424084)
Row(host=u'n1043354.ksc.nasa.gov', frequency=192, totalBytes=481313, averageSize=2506.8385416666665)
Row(host=u'gcsin1.gecm.com', frequency=192, totalBytes=2367701, averageSize=12331.776041666666)
Row(host=u'bombasto.informatik.rwth-aachen.de', frequency=192, totalBytes=13601323, averageSize=70840.22395833333)
Row(host=u'n1142699.ksc.nasa.gov', frequency=192, totalBytes=480695, averageSize=2503.6197916666665)
Row(host=u'sol.racsa.co.cr', frequency=192, totalBytes=2428837, averageSize=12650.192708333334)
Row(host=u'128.159.168.162', frequency=193, totalBytes=154594, averageSize=801.0051813471503)
Row(host=u'mm.fhg.de', frequency=193, totalBytes=755022, averageSize=3912.0310880829015)
Row(host=u'halley.la.asu.edu', frequency=194, totalBytes=3305277, averageSize=17037.51030927835)
Row(host=u'p27.s501.c41.k12.wv.us', frequency=194, totalBytes=4380662, averageSize=22580.731958762888)
Row(host=u'c682h.gsfc.nasa.gov', frequency=195, totalBytes=4974041, averageSize=25507.902564102566)
Row(host=u'141.102.80.167', frequency=195, totalBytes=11692213, averageSize=59960.066666666666)
Row(host=u'139.169.135.185', frequency=196, totalBytes=1627614, averageSize=8304.15306122449)
Row(host=u'192.112.239.200', frequency=197, totalBytes=588702, averageSize=2988.3350253807107)
Row(host=u'163.205.156.61', frequency=197, totalBytes=74535, averageSize=378.3502538071066)
Row(host=u'laotzu.uswmis.com', frequency=197, totalBytes=6718902, averageSize=34106.10152284264)
Row(host=u'n1121107.ksc.nasa.gov', frequency=198, totalBytes=884872, averageSize=4469.050505050505)
Row(host=u'165.164.140.191', frequency=198, totalBytes=11640925, averageSize=58792.5505050505)
Row(host=u'gutter.tepia.nmda.or.jp', frequency=199, totalBytes=4702586, averageSize=23631.085427135677)
Row(host=u'128.159.132.61', frequency=199, totalBytes=902651, averageSize=4535.934673366834)
Row(host=u'novix.casi.sti.nasa.gov', frequency=199, totalBytes=2321386, averageSize=11665.256281407035)
Row(host=u'unidata.com', frequency=199, totalBytes=3897303, averageSize=19584.437185929648)
Row(host=u'mickmac.lanl.gov', frequency=199, totalBytes=6038910, averageSize=30346.281407035174)
Row(host=u'harebell.inmos.co.uk', frequency=199, totalBytes=3271820, averageSize=16441.306532663315)
Row(host=u'128.227.97.61', frequency=199, totalBytes=5556861, averageSize=27923.924623115578)
Row(host=u'n1132658.ksc.nasa.gov', frequency=200, totalBytes=1673461, averageSize=8367.305)
Row(host=u'bastion.fdic.gov', frequency=200, totalBytes=2894385, averageSize=14471.925)
Row(host=u'158.152.1.40', frequency=200, totalBytes=9427792, averageSize=47138.96)
Row(host=u'reggae.iinet.net.au', frequency=201, totalBytes=2963276, averageSize=14742.666666666666)
Row(host=u'129.193.89.10', frequency=201, totalBytes=11384639, averageSize=56639.99502487562)
Row(host=u'n1388869.ksc.nasa.gov', frequency=202, totalBytes=544278, averageSize=2694.4455445544554)
Row(host=u'128.159.177.162', frequency=203, totalBytes=658168, averageSize=3242.206896551724)
Row(host=u'163.205.80.44', frequency=203, totalBytes=5520296, averageSize=27193.576354679804)
Row(host=u'400gtw.nl', frequency=203, totalBytes=1973164, averageSize=9720.019704433498)
Row(host=u'osf1.gmu.edu', frequency=203, totalBytes=2839193, averageSize=13986.172413793103)
Row(host=u'192.112.239.223', frequency=203, totalBytes=626190, averageSize=3084.679802955665)
Row(host=u'pc05.edu.uni-linz.ac.at', frequency=203, totalBytes=5442745, averageSize=26811.55172413793)
Row(host=u'fireball.jpl.nasa.gov', frequency=203, totalBytes=2337856, averageSize=11516.532019704433)
Row(host=u'wwwproxy.info.au', frequency=204, totalBytes=3311794, averageSize=16234.28431372549)
Row(host=u'163.206.104.17', frequency=204, totalBytes=264313, averageSize=1295.6519607843138)
Row(host=u'n1032601.ksc.nasa.gov', frequency=204, totalBytes=510890, averageSize=2504.3627450980393)
Row(host=u'148.202.3.195', frequency=204, totalBytes=2230593, averageSize=10934.279411764706)
Row(host=u'128.159.122.20', frequency=204, totalBytes=1217031, averageSize=5965.838235294118)
Row(host=u'wpo.telstra.com.au', frequency=205, totalBytes=8637359, averageSize=42133.45853658536)
Row(host=u'163.205.162.111', frequency=205, totalBytes=105015, averageSize=512.2682926829268)
Row(host=u'exinos.ms.com', frequency=205, totalBytes=5375760, averageSize=26223.219512195123)
Row(host=u'igw.fmc.com', frequency=205, totalBytes=4706696, averageSize=22959.49268292683)
Row(host=u'n1376224.ksc.nasa.gov', frequency=205, totalBytes=573888, averageSize=2799.4536585365854)
Row(host=u'cariddi.ulisse.it', frequency=206, totalBytes=1863452, averageSize=9045.883495145632)
Row(host=u'163.205.2.180', frequency=206, totalBytes=548101, averageSize=2660.6844660194174)
Row(host=u'urania.harvard.edu', frequency=207, totalBytes=601244, averageSize=2904.56038647343)
Row(host=u'193.143.192.92', frequency=208, totalBytes=2978636, averageSize=14320.365384615385)
Row(host=u'vaxa.clarion.edu', frequency=208, totalBytes=1808532, averageSize=8694.865384615385)
Row(host=u'n1373372.ksc.nasa.gov', frequency=209, totalBytes=549209, averageSize=2627.7942583732056)
Row(host=u'philb.tiac.net', frequency=209, totalBytes=1316967, averageSize=6301.277511961723)
Row(host=u'crc1-fddi.cris.com', frequency=209, totalBytes=3831195, averageSize=18331.076555023923)
Row(host=u'163.205.54.76', frequency=210, totalBytes=847212, averageSize=4034.342857142857)
Row(host=u'163.205.11.218', frequency=210, totalBytes=661033, averageSize=3147.7761904761905)
